Hospitals,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Albury Wodonga Health,200,200,200,210,210,230,220,210,210,220,210,210,220,220,230,220,210,210,200,200,200,200,200,200
Bairnsdale Regional Health,190,190,190,200,220,230,220,220,220,220,220,230,230,230,240,230,220,210,200,200,200,200,200,190
Ballarat Health,100,100,100,100,100,110,130,140,130,120,130,130,130,130,130,140,140,130,120,110,110,110,100,100
Barwon Health,85,80,80,80,80,100,130,150,130,120,110,110,120,120,130,140,140,120,110,100,100,100,90,85
Bendigo Health Care Group,110,110,110,110,120,140,160,160,150,140,140,150,150,150,160,160,160,140,130,130,130,120,120,110
Echuca Regional Health,150,150,150,150,160,170,180,170,170,170,170,170,170,180,180,190,170,160,160,160,150,160,160,160
Goulburn Valley Health,130,130,130,120,130,140,150,150,140,140,140,140,140,140,150,150,150,140,130,130,130,130,130,130
Melton Health,50,50,50,50,50,55,75,85,90,80,75,75,75,75,80,85,90,90,70,65,65,60,55,55
Mildura Base Hospital,380,380,400,400,390,390,390,390,390,390,400,400,400,380,380,370,370,370,360,360,370,360,360,350
Northeast Health Wangaratta,160,160,160,160,170,170,190,170,170,170,170,170,170,180,180,180,170,160,160,160,160,160,160,160
Swan Hill District Health,230,220,230,250,260,270,260,250,260,260,260,260,260,270,270,250,240,240,240,240,230,230,230,220
Wimmera Health Care Group,220,210,220,230,240,260,250,240,240,240,240,240,250,260,260,240,230,230,230,220,220,220,210,210
The Alfred,26,24,22,22,22,22,35,45,55,55,50,45,45,45,45,60,65,70,65,45,40,35,35,30
Box Hill Hospital,14,14,14,12,12,14,18,24,35,30,26,22,22,22,22,26,30,35,35,20,18,18,16,16
Dandenong Hospital,35,35,35,30,35,35,50,55,65,55,45,45,45,45,45,50,55,60,50,40,40,40,40,35
Footscray Hospital,35,30,30,28,28,35,45,60,70,65,60,55,60,60,60,75,70,75,65,50,50,45,45,40
Frankston Hospital,45,45,45,45,45,50,55,65,65,60,60,55,60,55,60,60,65,65,55,55,50,50,50,45
The Northern Hospital,24,22,22,22,22,24,30,35,50,40,35,35,35,35,35,40,45,50,40,30,28,28,26,24
Peninsula Health,70,70,70,70,70,75,85,100,85,85,85,85,85,85,85,90,100,90,80,75,75,75,75,70
St Vincent's Hospital,20,20,18,18,18,18,22,26,35,30,28,28,28,30,28,35,40,45,45,28,24,24,24,22
Sunshine Hospital,35,30,30,28,28,30,45,50,60,45,50,50,55,55,45,60,60,60,55,45,40,40,35,35
Casey Hospital,42,42,41,41,41,43,52,55,56,49,45,45,45,44,45,48,53,52,46,43,42,42,42,42
Maroondah Hospital,22,22,21,21,21,22,27,31,34,29,27,26,26,26,26,28,29,30,28,24,23,23,23,22
Hamilton Hospital,209,208,208,213,215,223,218,215,216,217,217,218,219,221,222,216,213,213,213,213,212,212,211,212
Warrnambool Hospital,191,189,188,191,211,218,215,204,200,202,202,202,207,215,215,212,199,195,195,194,194,196,196,191
Sale Hospital,148,149,147,146,150,155,162,155,153,153,155,154,153,155,156,158,154,150,149,149,149,149,150,152
Latrobe Regional Hospital,106,105,105,103,103,112,115,116,110,108,108,108,107,107,109,109,112,106,104,104,105,104,104,104
West Gippsland Hospital,73,73,72,71,71,73,81,87,80,76,75,75,75,74,75,77,78,79,73,72,73,72,72,72
Wonthaggi Hospital,101,99,99,98,97,106,110,113,107,104,104,104,103,103,105,106,109,102,99,99,99,100,99,99
