Hospitals,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Albury Wodonga Health,200,200,200,210,210,230,220,220,220,220,220,210,210,210,220,210,210,210,210,210,210,200,200,200
Bairnsdale Regional Health,200,200,210,210,270,260,250,230,230,230,230,230,230,230,250,230,220,210,210,210,210,210,200,200
Ballarat Health,85,85,85,80,85,100,110,140,120,110,100,100,100,100,100,100,110,100,100,90,90,90,90,90
Barwon Health,70,65,60,65,65,75,110,120,100,80,85,85,85,85,85,85,85,85,80,75,75,75,70,70
Bendigo Health Care Group,100,100,100,100,100,120,130,140,120,120,120,120,120,120,120,120,120,120,110,110,110,110,110,110
Echuca Regional Health,150,150,150,150,160,170,180,170,170,170,170,170,170,170,170,170,160,160,150,160,150,150,150,150
Goulburn Valley Health,130,130,130,130,130,140,160,150,140,140,140,140,140,140,140,140,140,140,140,140,140,140,130,130
Melton Health,40,40,40,40,40,40,55,60,70,55,50,50,50,50,50,50,55,55,50,45,45,45,45,45
Mildura Base Hospital,360,360,380,380,370,370,360,370,370,370,360,370,370,360,360,360,360,350,350,350,370,350,350,350
Northeast Health Wangaratta,160,160,160,160,170,170,190,180,170,170,170,170,170,170,170,170,170,170,170,160,160,160,160,160
Swan Hill District Health,220,220,220,230,240,250,240,230,230,230,230,230,230,230,230,230,230,220,230,220,220,220,220,220
Wimmera Health Care Group,210,200,200,210,240,250,240,220,220,220,220,220,220,220,220,220,210,210,210,210,200,200,200,200
The Alfred,22,18,18,16,16,18,24,30,40,45,40,35,40,40,35,40,40,45,45,35,30,28,28,24
Box Hill Hospital,22,22,20,20,20,22,30,50,65,55,40,35,35,35,35,40,45,45,45,35,30,28,28,24
Dandenong Hospital,40,35,35,35,35,40,70,85,100,75,60,50,50,50,50,55,60,70,55,45,45,45,45,45
Footscray Hospital,16,14,14,14,14,14,18,26,40,35,26,24,26,26,26,26,26,28,26,22,20,20,18,16
Frankston Hospital,55,50,50,50,50,55,85,100,100,80,70,65,65,65,65,65,75,80,65,60,60,60,55,55
The Northern Hospital,28,26,24,24,26,26,35,45,55,45,40,40,40,40,40,40,40,40,35,35,35,30,30,30
Peninsula Health,80,75,75,75,75,80,130,130,120,100,90,90,90,90,90,100,110,100,85,85,85,85,80,80
St Vincent's Hospital,12,12,10,10,12,10,12,18,20,22,22,20,20,22,20,20,20,24,26,18,16,16,14,14
Sunshine Hospital,22,20,18,18,18,20,24,28,45,35,28,26,26,26,26,26,26,28,26,24,24,24,24,22
Austin Health,24,26,24,24,22,22,30,40,50,45,45,40,45,45,40,45,45,50,45,40,35,35,30,28
Casey Hospital,45,45,44,44,43,45,62,73,76,60,52,50,50,49,50,52,57,56,50,46,46,46,46,45
Maroondah Hospital,28,28,27,27,27,28,36,44,50,42,36,34,34,34,34,35,38,40,36,31,30,30,30,29
Hamilton Hospital,199,197,197,202,208,216,211,205,204,203,203,204,204,205,205,202,202,202,201,202,200,200,202,199
Warrnambool Hospital,177,174,174,175,191,197,195,185,182,183,184,184,184,183,185,184,180,178,179,179,179,181,181,177
Sale Hospital,150,152,149,149,156,173,183,169,161,157,159,159,158,157,159,164,159,154,153,153,152,152,153,155
Latrobe Regional Hospital,109,107,108,105,105,123,134,137,122,114,112,113,111,111,112,114,117,110,108,108,108,108,107,107
West Gippsland Hospital,76,75,76,73,73,76,93,101,93,85,79,79,79,78,78,80,84,83,77,76,76,76,76,75
Wonthaggi Hospital,104,102,102,100,99,115,128,133,119,111,108,109,107,107,108,110,115,106,103,103,103,103,103,103
