Hospitals,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Albury Wodonga Health,220,220,230,230,240,260,250,240,240,250,250,240,250,260,250,240,230,230,230,230,230,230,220,220
Bairnsdale Regional Health,180,180,180,180,200,210,210,200,200,210,210,210,210,210,220,210,200,190,190,190,180,180,180,180
Ballarat Health,100,100,100,100,100,120,140,150,140,130,120,120,120,120,140,150,140,120,110,110,110,110,100,100
Barwon Health,85,85,80,75,80,90,120,160,130,110,110,110,110,110,120,140,130,110,100,90,90,90,85,85
Bendigo Health Care Group,130,130,130,130,130,150,170,180,160,160,160,150,150,160,180,180,160,150,140,140,140,130,130,130
Echuca Regional Health,170,170,170,170,190,210,220,210,200,210,210,210,210,220,220,210,190,180,180,180,170,180,180,180
Goulburn Valley Health,150,150,150,150,160,170,200,190,180,180,180,180,170,190,200,190,180,220,160,160,160,160,150,150
Melton Health,60,55,55,55,60,60,80,110,110,100,80,75,70,70,70,100,100,85,70,60,60,60,60,60
Mildura Base Hospital,390,390,410,420,400,400,400,400,400,400,420,420,400,390,380,380,380,380,370,370,390,370,370,370
Northeast Health Wangaratta,180,180,180,180,200,220,230,210,210,210,210,200,210,220,230,220,200,190,190,190,190,190,190,180
Swan Hill District Health,240,240,240,260,280,290,270,270,270,270,260,270,280,290,280,260,250,250,250,240,240,240,240,240
Wimmera Health Care Group,220,220,220,220,260,280,260,250,240,240,240,240,250,270,260,240,230,220,230,220,220,220,220,220
The Alfred,28,28,26,24,24,26,35,45,60,55,50,50,50,50,50,65,65,65,60,45,45,40,40,35
Box Hill Hospital,22,22,22,22,22,22,26,35,60,50,40,40,40,40,40,50,50,50,45,35,30,30,26,24
Dandenong Hospital,18,16,16,16,16,18,26,35,40,35,28,28,30,28,30,30,35,35,30,24,22,22,20,20
Footscray Hospital,40,40,40,40,35,40,45,65,85,80,65,60,60,55,60,85,85,75,60,45,45,45,45,40
Frankston Hospital,30,30,28,30,30,30,45,50,55,45,45,45,45,45,45,45,45,50,45,35,35,35,30,30
The Northern Hospital,55,50,50,50,50,50,65,85,100,80,75,75,75,70,75,90,110,85,70,55,55,55,55,55
Peninsula Health,55,55,55,55,55,60,75,85,80,70,70,70,70,70,70,70,75,75,65,65,60,60,60,60
St Vincent's Hospital,35,30,30,30,30,30,35,45,55,50,45,45,50,45,50,60,70,70,60,40,40,40,35,35
Sunshine Hospital,50,45,45,45,40,45,50,70,85,75,70,60,60,55,55,75,85,75,60,50,50,50,50,45
Casey Hospital,27,27,27,27,26,28,43,47,47,34,30,30,30,30,30,32,36,32,30,29,28,28,27,28
Maroondah Hospital,26,26,26,26,25,28,31,34,39,33,31,31,31,31,31,32,33,32,30,29,28,28,27,27
Hamilton Hospital,217,215,216,219,228,239,234,228,226,225,224,224,229,237,235,226,218,219,218,220,218,218,220,218
Warrnambool Hospital,195,192,192,193,209,221,218,208,205,206,205,203,206,215,216,210,197,196,196,196,197,199,200,195
Sale Hospital,133,135,132,132,135,142,150,142,138,138,139,139,139,139,139,139,137,136,135,135,134,134,135,137
Latrobe Regional Hospital,91,90,91,88,88,100,102,106,95,92,93,93,92,92,93,92,92,91,90,90,90,89,89,89
West Gippsland Hospital,58,58,58,57,57,58,69,74,69,61,60,60,60,60,60,60,60,59,58,58,58,58,58,58
Wonthaggi Hospital,86,84,85,83,82,92,96,102,92,89,89,89,88,88,89,89,90,86,85,84,85,85,85,85
