,capacity_at_event_time,event,event_time,name,queue_at_event_time
0,0,request,1385.0,Austin Health,0
1,1,request,2337.0,Austin Health,0
2,2,request,2958.0,Austin Health,0
3,3,request,4100.0,Austin Health,0
4,4,release,4590.843783779208,Austin Health,0
5,3,request,5365.0,Austin Health,0
6,4,release,5867.528812056225,Austin Health,0
7,3,release,5943.956912961067,Austin Health,0
8,2,request,6481.0,Austin Health,0
9,3,request,6573.0,Austin Health,0
10,4,release,6716.5594804950515,Austin Health,0
11,3,request,7810.0,Austin Health,0
12,4,release,8739.298748364366,Austin Health,0
13,3,request,9007.0,Austin Health,0
14,4,release,9150.809456924575,Austin Health,0
15,3,release,9662.924345027086,Austin Health,0
16,2,request,10179.0,Austin Health,0
17,3,release,10565.338547239857,Austin Health,0
18,2,request,10678.0,Austin Health,0
19,3,request,11043.0,Austin Health,0
20,4,release,11947.622186355988,Austin Health,0
21,3,request,12640.0,Austin Health,0
22,4,release,13024.757509098454,Austin Health,0
23,3,release,13858.511334926152,Austin Health,0
24,2,release,14049.801657063392,Austin Health,0
25,1,release,15728.726100538825,Austin Health,0
26,0,request,16740.0,Austin Health,0
27,1,request,18431.0,Austin Health,0
28,2,release,19569.66930131734,Austin Health,0
29,1,request,20492.0,Austin Health,0
30,2,request,20539.0,Austin Health,0
31,3,request,21300.0,Austin Health,0
32,4,request,21434.0,Austin Health,0
33,5,release,21605.892667019034,Austin Health,0
34,4,request,22120.0,Austin Health,0
35,5,release,23053.998288765128,Austin Health,0
36,4,request,23055.0,Austin Health,0
37,5,request,23143.0,Austin Health,0
38,5,release,23656.255526191133,Austin Health,1
39,5,release,23656.255526191133,Austin Health,0
40,4,release,24060.489383897617,Austin Health,0
41,3,release,24248.736982560396,Austin Health,0
42,2,release,24605.244702118838,Austin Health,0
43,1,release,25947.891762860487,Austin Health,0
44,0,request,25955.0,Austin Health,0
45,1,request,26074.0,Austin Health,0
46,2,request,27642.0,Austin Health,0
47,3,release,29046.820701225675,Austin Health,0
48,2,release,29208.23418818916,Austin Health,0
49,1,release,30557.337057112465,Austin Health,0
50,0,request,30698.0,Austin Health,0
51,1,request,31964.0,Austin Health,0
52,2,release,33441.72785358853,Austin Health,0
53,1,request,33819.0,Austin Health,0
54,2,request,34866.0,Austin Health,0
55,3,release,35007.153263021086,Austin Health,0
56,2,request,36571.0,Austin Health,0
57,3,request,36744.0,Austin Health,0
58,4,release,37136.17695458818,Austin Health,0
59,3,release,37493.22340394667,Austin Health,0
60,2,release,39423.272606789986,Austin Health,0
61,1,release,39871.08058518336,Austin Health,0
62,0,request,41604.0,Austin Health,0
63,1,request,42671.0,Austin Health,0
