,capacity_at_event_time,event,event_time,name,queue_at_event_time
0,0,request,250.0,Austin Health,0
1,1,release,2910.3794931233197,Austin Health,0
2,0,request,2967.0,Austin Health,0
3,1,request,3149.0,Austin Health,0
4,2,request,3428.0,Austin Health,0
5,3,request,3927.0,Austin Health,0
6,4,request,4218.0,Austin Health,0
7,5,request,5557.0,Austin Health,0
8,5,release,5842.080667554248,Austin Health,1
9,5,request,5989.0,Austin Health,0
10,5,release,6044.621195296914,Austin Health,1
11,5,release,6074.5279759546975,Austin Health,0
12,4,release,6811.656832009334,Austin Health,0
13,3,release,6846.416850150601,Austin Health,0
14,2,request,8454.0,Austin Health,0
15,3,release,8842.39753449662,Austin Health,0
16,2,release,9108.675446269566,Austin Health,0
17,1,request,10553.0,Austin Health,0
18,2,release,10891.14843925006,Austin Health,0
19,1,request,10908.0,Austin Health,0
20,2,request,12351.0,Austin Health,0
21,3,release,13462.740265074595,Austin Health,0
22,2,request,14183.0,Austin Health,0
23,3,request,14238.0,Austin Health,0
24,4,request,14363.0,Austin Health,0
25,5,release,14612.847861302196,Austin Health,0
26,4,request,15326.0,Austin Health,0
27,5,release,15779.752347259731,Austin Health,0
28,4,release,16747.535660287205,Austin Health,0
29,3,request,16998.0,Austin Health,0
30,4,release,17636.169703706888,Austin Health,0
31,3,release,17704.134018737746,Austin Health,0
32,2,release,18233.466039461757,Austin Health,0
33,1,request,18476.0,Austin Health,0
34,2,release,19581.05924539276,Austin Health,0
35,1,release,20839.464356232318,Austin Health,0
36,0,request,22838.0,Austin Health,0
37,1,request,23035.0,Austin Health,0
38,2,request,24250.0,Austin Health,0
39,3,request,24344.0,Austin Health,0
40,4,request,24403.0,Austin Health,0
41,5,release,25694.930864710033,Austin Health,0
42,4,release,25776.53650101497,Austin Health,0
43,3,request,26478.0,Austin Health,0
44,4,request,26566.0,Austin Health,0
45,5,release,26755.687739219557,Austin Health,0
46,4,request,26768.0,Austin Health,0
47,5,release,27118.60501147924,Austin Health,0
48,4,release,27679.95148538134,Austin Health,0
49,3,request,28412.0,Austin Health,0
50,4,request,28603.0,Austin Health,0
51,5,request,28982.0,Austin Health,0
52,5,request,29159.0,Austin Health,1
53,5,release,29253.587056583485,Austin Health,2
54,5,release,29271.191193678595,Austin Health,1
55,5,request,29572.0,Austin Health,0
56,5,request,29622.0,Austin Health,1
57,5,release,29970.28956142664,Austin Health,2
58,5,release,29970.28956142664,Austin Health,1
59,5,release,30915.636949087275,Austin Health,0
60,4,request,31551.0,Austin Health,0
61,5,request,31681.0,Austin Health,0
62,5,release,31739.035524799692,Austin Health,1
63,5,release,32269.07921739169,Austin Health,0
64,4,release,32743.26992789055,Austin Health,0
65,3,release,32914.70125594817,Austin Health,0
66,2,request,33138.0,Austin Health,0
67,3,request,33228.0,Austin Health,0
68,4,request,33950.0,Austin Health,0
69,5,release,34746.96718398653,Austin Health,0
70,4,release,35298.85628235235,Austin Health,0
71,3,request,35932.0,Austin Health,0
72,4,release,36018.36738204838,Austin Health,0
73,3,release,36721.24200138945,Austin Health,0
74,2,release,36741.06017504257,Austin Health,0
75,1,request,38159.0,Austin Health,0
76,2,release,38189.06631619336,Austin Health,0
77,1,request,39888.0,Austin Health,0
78,2,request,40875.0,Austin Health,0
79,3,release,41264.10231783286,Austin Health,0
80,2,request,41596.0,Austin Health,0
81,3,request,41634.0,Austin Health,0
82,4,release,42122.605809059336,Austin Health,0
83,3,request,42608.0,Austin Health,0
84,4,request,42830.0,Austin Health,0
85,5,release,43582.754356744525,Austin Health,0
86,4,request,44300.0,Austin Health,0
87,5,release,44523.7112522908,Austin Health,0
88,4,request,44718.0,Austin Health,0
89,5,release,44832.22279243162,Austin Health,0
90,4,request,45259.0,Austin Health,0
91,5,request,45579.0,Austin Health,0
92,5,release,45597.93442853446,Austin Health,1
93,5,release,45728.21234044031,Austin Health,0
94,4,request,46143.0,Austin Health,0
95,5,release,47495.640276871534,Austin Health,0
96,4,release,48133.32637171809,Austin Health,0
97,3,release,48169.74154570013,Austin Health,0
98,2,release,48264.81402554648,Austin Health,0
99,1,request,48558.0,Austin Health,0
100,2,release,48819.93233031676,Austin Health,0
101,1,request,49135.0,Austin Health,0
102,2,request,49950.0,Austin Health,0
103,3,request,50351.0,Austin Health,0
104,4,request,50688.0,Austin Health,0
105,5,release,51402.326544692136,Austin Health,0
106,4,request,51824.0,Austin Health,0
107,5,release,52202.49767606212,Austin Health,0
108,4,release,52563.49598587047,Austin Health,0
109,3,request,52638.0,Austin Health,0
110,4,request,52964.0,Austin Health,0
111,5,release,53338.87735339873,Austin Health,0
112,4,release,53717.32147491283,Austin Health,0
113,3,release,54649.43264393583,Austin Health,0
114,2,request,55019.0,Austin Health,0
115,3,request,55397.0,Austin Health,0
116,4,release,55659.11680130649,Austin Health,0
117,3,release,55776.34478221047,Austin Health,0
118,2,request,56375.0,Austin Health,0
119,3,request,57321.0,Austin Health,0
120,4,release,57546.71385444667,Austin Health,0
121,3,release,58087.35286154419,Austin Health,0
122,2,request,59341.0,Austin Health,0
123,3,release,59482.64507329048,Austin Health,0
124,2,request,59899.0,Austin Health,0
125,3,release,60130.47838636984,Austin Health,0
126,2,request,60862.0,Austin Health,0
127,3,request,60872.0,Austin Health,0
128,4,request,61997.0,Austin Health,0
129,5,release,62075.11943494485,Austin Health,0
130,4,request,62573.0,Austin Health,0
131,5,release,62686.49810691591,Austin Health,0
132,4,request,63522.0,Austin Health,0
133,5,request,63578.0,Austin Health,0
134,5,release,63921.3434459277,Austin Health,1
135,5,release,63921.3434459277,Austin Health,0
136,4,release,64207.21333102045,Austin Health,0
137,3,release,64781.256067124355,Austin Health,0
138,2,release,65067.46427577828,Austin Health,0
139,1,request,65408.0,Austin Health,0
140,2,request,65561.0,Austin Health,0
141,3,request,66160.0,Austin Health,0
142,4,release,66577.07081593023,Austin Health,0
143,3,request,66791.0,Austin Health,0
144,4,request,67140.0,Austin Health,0
145,5,request,67771.0,Austin Health,0
146,5,release,67865.67104510349,Austin Health,1
147,5,release,68688.05309600978,Austin Health,0
148,4,release,68998.28059390553,Austin Health,0
149,3,release,69939.72438029581,Austin Health,0
150,2,release,70264.06752341294,Austin Health,0
151,1,request,70960.0,Austin Health,0
152,2,release,70960.6685873356,Austin Health,0
153,1,release,73557.1605171422,Austin Health,0
154,0,request,73601.0,Austin Health,0
155,1,request,73626.0,Austin Health,0
156,2,request,76283.0,Austin Health,0
157,3,request,76476.0,Austin Health,0
158,4,release,76588.04850111906,Austin Health,0
159,3,release,76953.92388122434,Austin Health,0
160,2,request,77298.0,Austin Health,0
161,3,request,77953.0,Austin Health,0
162,4,request,78137.0,Austin Health,0
163,5,request,78994.0,Austin Health,0
164,5,release,79021.58448617063,Austin Health,1
165,5,release,79742.64805146713,Austin Health,0
166,4,release,80446.86489114106,Austin Health,0
167,3,release,81063.17405556304,Austin Health,0
168,2,release,81162.79054665411,Austin Health,0
169,1,request,81948.0,Austin Health,0
170,2,release,82375.39240931747,Austin Health,0
171,1,request,82460.0,Austin Health,0
172,2,request,82727.0,Austin Health,0
173,3,request,82864.0,Austin Health,0
174,4,request,83584.0,Austin Health,0
175,5,request,84784.0,Austin Health,0
176,5,release,84958.33107955857,Austin Health,1
177,5,request,85089.0,Austin Health,0
178,5,release,85283.2435296378,Austin Health,1
179,5,release,85465.9453738441,Austin Health,0
180,4,release,85680.62929661569,Austin Health,0
181,3,request,86253.0,Austin Health,0
182,4,request,86261.0,Austin Health,0
183,5,release,87044.120273985,Austin Health,0
184,4,release,87940.09052942383,Austin Health,0
185,3,request,88410.0,Austin Health,0
186,4,release,88491.4448621488,Austin Health,0
187,3,request,88588.0,Austin Health,0
188,4,request,88721.0,Austin Health,0
189,5,release,88920.4193003971,Austin Health,0
190,4,request,88927.0,Austin Health,0
191,5,request,89110.0,Austin Health,0
192,5,release,89155.99470411781,Austin Health,1
193,5,request,89977.0,Austin Health,0
194,5,request,90979.0,Austin Health,1
195,5,request,91317.0,Austin Health,2
196,5,release,91574.96812970536,Austin Health,3
197,5,release,91574.96812970536,Austin Health,2
198,5,release,91574.96812970536,Austin Health,1
199,5,release,91813.48502250241,Austin Health,0
200,4,release,92022.80427482845,Austin Health,0
201,3,release,92032.73075958269,Austin Health,0
202,2,release,92139.3235314542,Austin Health,0
203,1,request,93285.0,Austin Health,0
204,2,release,94827.41718378561,Austin Health,0
205,1,request,95208.0,Austin Health,0
206,2,request,95491.0,Austin Health,0
207,3,release,96659.42475133055,Austin Health,0
208,2,release,97334.7800967138,Austin Health,0
209,1,release,97991.62031166702,Austin Health,0
210,0,request,98034.0,Austin Health,0
211,1,request,98560.0,Austin Health,0
212,2,request,99280.0,Austin Health,0
213,3,request,100959.0,Austin Health,0
214,4,release,101431.12497845142,Austin Health,0
215,3,release,101839.12757604025,Austin Health,0
216,2,release,102007.4065811734,Austin Health,0
217,1,request,102530.0,Austin Health,0
218,2,request,102753.0,Austin Health,0
219,3,request,102963.0,Austin Health,0
220,4,request,103025.0,Austin Health,0
221,5,request,103244.0,Austin Health,0
222,5,release,104255.62123436396,Austin Health,1
223,5,release,104255.62123436396,Austin Health,0
224,4,release,105308.52200686016,Austin Health,0
225,3,release,105399.6747537594,Austin Health,0
226,2,release,105443.4171111494,Austin Health,0
227,1,request,105546.0,Austin Health,0
228,2,request,105737.0,Austin Health,0
229,3,request,105797.0,Austin Health,0
230,4,release,106091.71508640666,Austin Health,0
231,3,request,107030.0,Austin Health,0
232,4,request,107470.0,Austin Health,0
233,5,request,107542.0,Austin Health,0
234,5,request,108625.0,Austin Health,1
235,5,release,108642.39819297736,Austin Health,2
236,5,release,108642.39819297736,Austin Health,1
237,5,release,108912.14135427383,Austin Health,0
238,4,release,108967.97724497505,Austin Health,0
239,3,release,109541.73378684829,Austin Health,0
240,2,release,110680.2943691495,Austin Health,0
241,1,release,111407.46259127733,Austin Health,0
242,0,request,111596.0,Austin Health,0
243,1,request,112187.0,Austin Health,0
