,capacity_at_event_time,event,event_time,name,queue_at_event_time
0,0,request,24468.0,The Alfred,0
1,1,release,27742.545381189586,The Alfred,0
2,0,request,28532.0,The Alfred,0
3,1,request,29024.0,The Alfred,0
4,2,release,31029.296532209843,The Alfred,0
5,1,release,32660.85847416701,The Alfred,0
6,0,request,41395.0,The Alfred,0
7,1,release,44276.721338156734,The Alfred,0
8,0,request,55968.0,The Alfred,0
9,1,release,59030.80721398805,The Alfred,0
10,0,request,69774.0,The Alfred,0
11,1,release,72247.09655548884,The Alfred,0
12,0,request,99725.0,The Alfred,0
13,1,release,102554.18378439275,The Alfred,0
14,0,request,125581.0,The Alfred,0
15,1,release,128563.61346108005,The Alfred,0
16,0,request,170069.0,The Alfred,0
17,1,release,173284.3015133352,The Alfred,0
18,0,request,182174.0,The Alfred,0
19,1,release,185330.39625697528,The Alfred,0
20,0,request,204879.0,The Alfred,0
21,1,release,208074.5129915591,The Alfred,0
22,0,request,213422.0,The Alfred,0
23,1,request,216188.0,The Alfred,0
24,2,release,216483.32453305877,The Alfred,0
25,1,release,219205.92695636832,The Alfred,0
26,0,request,239640.0,The Alfred,0
27,1,request,241158.0,The Alfred,0
28,2,release,242326.1127634068,The Alfred,0
29,1,release,243546.81643261202,The Alfred,0
30,0,request,249615.0,The Alfred,0
31,1,request,252352.0,The Alfred,0
32,2,release,252584.89872601384,The Alfred,0
33,1,release,255326.81638574987,The Alfred,0
34,0,request,265965.0,The Alfred,0
35,1,release,269196.1387319291,The Alfred,0
36,0,request,270790.0,The Alfred,0
37,1,release,272745.4558092435,The Alfred,0
38,0,request,280333.0,The Alfred,0
39,1,release,283124.99589980865,The Alfred,0
40,0,request,290862.0,The Alfred,0
41,1,request,291603.0,The Alfred,0
42,2,release,294667.85811641254,The Alfred,0
43,1,release,294687.02501627407,The Alfred,0
44,0,request,316551.0,The Alfred,0
45,1,release,318592.0543480827,The Alfred,0
46,0,request,336455.0,The Alfred,0
47,1,release,339385.13269130304,The Alfred,0
48,0,request,344712.0,The Alfred,0
49,1,release,347318.7381437408,The Alfred,0
50,0,request,349902.0,The Alfred,0
