,capacity_at_event_time,event,event_time,name,queue_at_event_time
0,0,request,23538.0,The Alfred,0
1,1,release,25859.622289444018,The Alfred,0
2,0,request,28100.0,The Alfred,0
3,1,release,31123.56879237865,The Alfred,0
4,0,request,39812.0,The Alfred,0
5,1,release,42502.97564077992,The Alfred,0
6,0,request,45244.0,The Alfred,0
7,1,request,46899.0,The Alfred,0
8,2,release,47949.685694784486,The Alfred,0
9,1,release,49693.55437659609,The Alfred,0
10,0,request,82628.0,The Alfred,0
11,1,request,84063.0,The Alfred,0
12,2,release,85207.08690822158,The Alfred,0
13,1,release,86388.37043777885,The Alfred,0
14,0,request,102748.0,The Alfred,0
15,1,release,105639.95701492384,The Alfred,0
16,0,request,112964.0,The Alfred,0
17,1,release,115887.42145411958,The Alfred,0
18,0,request,120318.0,The Alfred,0
19,1,release,122930.72298523091,The Alfred,0
20,0,request,126244.0,The Alfred,0
21,1,release,128615.34532231471,The Alfred,0
22,0,request,180695.0,The Alfred,0
23,1,release,183019.89300103983,The Alfred,0
24,0,request,188336.0,The Alfred,0
25,1,release,191094.402777535,The Alfred,0
26,0,request,201245.0,The Alfred,0
27,1,release,203468.49632397364,The Alfred,0
28,0,request,207047.0,The Alfred,0
29,1,release,209297.72844503314,The Alfred,0
30,0,request,209796.0,The Alfred,0
31,1,release,212697.23128642834,The Alfred,0
32,0,request,248310.0,The Alfred,0
33,1,release,250659.21777015374,The Alfred,0
34,0,request,283048.0,The Alfred,0
35,1,request,283188.0,The Alfred,0
36,2,release,285862.39313655323,The Alfred,0
37,1,release,286250.2123853436,The Alfred,0
38,0,request,295870.0,The Alfred,0
39,1,release,298727.24187715893,The Alfred,0
40,0,request,301593.0,The Alfred,0
41,1,release,304434.76438150613,The Alfred,0
42,0,request,313184.0,The Alfred,0
43,1,release,316221.4762299784,The Alfred,0
44,0,request,317372.0,The Alfred,0
45,1,release,320269.38707467285,The Alfred,0
46,0,request,323457.0,The Alfred,0
47,1,request,326276.0,The Alfred,0
48,2,release,326361.78706069913,The Alfred,0
49,1,release,328972.1806298452,The Alfred,0
50,0,request,338041.0,The Alfred,0
51,1,release,340885.5916450585,The Alfred,0
52,0,request,355336.0,The Alfred,0
53,1,release,358325.59579727676,The Alfred,0
54,0,request,359414.0,The Alfred,0
55,1,request,360906.0,The Alfred,0
56,2,release,361990.30224580766,The Alfred,0
57,1,request,362488.0,The Alfred,0
58,2,release,364208.72574943653,The Alfred,0
59,1,release,366020.66535734234,The Alfred,0
60,0,request,376784.0,The Alfred,0
61,1,release,379917.8933919714,The Alfred,0
62,0,request,385393.0,The Alfred,0
63,1,release,388445.7237082542,The Alfred,0
64,0,request,399866.0,The Alfred,0
65,1,release,402364.8295180089,The Alfred,0
66,0,request,409667.0,The Alfred,0
67,1,release,411905.1187743509,The Alfred,0
68,0,request,413924.0,The Alfred,0
69,1,release,417172.04714468156,The Alfred,0
70,0,request,448362.0,The Alfred,0
71,1,release,451138.77736858535,The Alfred,0
72,0,request,503297.0,The Alfred,0
73,1,release,506386.24207459146,The Alfred,0
74,0,request,510292.0,The Alfred,0
75,1,release,511874.9683253747,The Alfred,0
76,0,request,517793.0,The Alfred,0
77,1,release,520647.724987757,The Alfred,0
78,0,request,520902.0,The Alfred,0
79,1,release,524216.83548180055,The Alfred,0
80,0,request,529221.0,The Alfred,0
81,1,release,532096.6789631711,The Alfred,0
82,0,request,539251.0,The Alfred,0
83,1,release,541747.9324099795,The Alfred,0
84,0,request,558002.0,The Alfred,0
85,1,request,560925.0,The Alfred,0
86,2,release,561068.0369522204,The Alfred,0
87,1,release,562978.542805965,The Alfred,0
88,0,request,565378.0,The Alfred,0
89,1,release,567746.5268787363,The Alfred,0
90,0,request,572246.0,The Alfred,0
91,1,release,575102.5431789138,The Alfred,0
92,0,request,593897.0,The Alfred,0
93,1,release,597017.0500833968,The Alfred,0
94,0,request,605881.0,The Alfred,0
95,1,request,607182.0,The Alfred,0
96,2,release,608485.5242957395,The Alfred,0
97,1,release,611136.1222476655,The Alfred,0
98,0,request,641564.0,The Alfred,0
99,1,release,645110.1229422487,The Alfred,0
100,0,request,660097.0,The Alfred,0
101,1,release,662413.0816000734,The Alfred,0
102,0,request,676196.0,The Alfred,0
103,1,release,678844.952079428,The Alfred,0
104,0,request,686285.0,The Alfred,0
105,1,request,687874.0,The Alfred,0
106,2,release,689632.6231524505,The Alfred,0
107,1,release,691149.882490498,The Alfred,0
108,0,request,693757.0,The Alfred,0
109,1,release,696646.1363052572,The Alfred,0
110,0,request,722265.0,The Alfred,0
111,1,request,725140.0,The Alfred,0
112,2,release,725226.237950365,The Alfred,0
113,1,release,728198.8525038324,The Alfred,0
114,0,request,746479.0,The Alfred,0
115,1,release,749958.1386833752,The Alfred,0
116,0,request,756870.0,The Alfred,0
117,1,release,759809.7549094978,The Alfred,0
118,0,request,761295.0,The Alfred,0
119,1,release,763380.2737074291,The Alfred,0
120,0,request,784425.0,The Alfred,0
121,1,release,787265.0552547257,The Alfred,0
122,0,request,814399.0,The Alfred,0
123,1,request,817199.0,The Alfred,0
124,2,release,817497.0575426391,The Alfred,0
125,1,release,820139.8600967,The Alfred,0
126,0,request,828833.0,The Alfred,0
127,1,release,831735.7065528982,The Alfred,0
128,0,request,841578.0,The Alfred,0
129,1,release,844303.4780801112,The Alfred,0
130,0,request,856382.0,The Alfred,0
131,1,release,858950.4954454289,The Alfred,0
132,0,request,860378.0,The Alfred,0
133,1,release,862887.4211336377,The Alfred,0
134,0,request,885073.0,The Alfred,0
135,1,request,886586.0,The Alfred,0
136,2,release,887952.1193102258,The Alfred,0
137,1,request,889403.0,The Alfred,0
138,2,release,889476.4325412333,The Alfred,0
139,1,release,892135.3145853222,The Alfred,0
140,0,request,901082.0,The Alfred,0
141,1,release,904580.2443995458,The Alfred,0
142,0,request,914012.0,The Alfred,0
143,1,release,917199.0698749607,The Alfred,0
144,0,request,931088.0,The Alfred,0
145,1,release,934103.4657409437,The Alfred,0
146,0,request,936713.0,The Alfred,0
147,1,request,939540.0,The Alfred,0
148,2,release,939595.3709651016,The Alfred,0
149,1,release,942125.334577702,The Alfred,0
150,0,request,952382.0,The Alfred,0
151,1,release,955237.2654777386,The Alfred,0
152,0,request,968549.0,The Alfred,0
153,1,release,971279.3202298447,The Alfred,0
154,0,request,975400.0,The Alfred,0
155,1,request,978288.0,The Alfred,0
156,2,release,978542.5307702384,The Alfred,0
157,1,release,981104.276089642,The Alfred,0
158,0,request,984340.0,The Alfred,0
159,1,release,987641.0562830451,The Alfred,0
160,0,request,988652.0,The Alfred,0
161,1,release,992011.8459977782,The Alfred,0
162,0,request,998605.0,The Alfred,0
163,1,release,1001150.5758211506,The Alfred,0
164,0,request,1040386.0,The Alfred,0
165,1,release,1042891.4488919403,The Alfred,0
166,0,request,1047392.0,The Alfred,0
167,1,release,1050075.6628848081,The Alfred,0
168,0,request,1052282.0,The Alfred,0
169,1,release,1055128.003322308,The Alfred,0
170,0,request,1056289.0,The Alfred,0
171,1,request,1059229.0,The Alfred,0
172,2,release,1059583.2169114605,The Alfred,0
173,1,release,1062241.5891096836,The Alfred,0
174,0,request,1070948.0,The Alfred,0
175,1,release,1073973.4859153752,The Alfred,0
176,0,request,1079177.0,The Alfred,0
177,1,request,1080577.0,The Alfred,0
178,2,release,1082376.6731960988,The Alfred,0
179,1,release,1083354.3018556244,The Alfred,0
180,0,request,1096701.0,The Alfred,0
181,1,request,1098129.0,The Alfred,0
182,2,request,1099425.0,The Alfred,0
183,3,request,1099525.0,The Alfred,0
184,3,release,1099709.648385254,The Alfred,1
185,3,release,1101091.6057182688,The Alfred,0
186,2,release,1102266.7733459463,The Alfred,0
187,1,release,1102913.3875052172,The Alfred,0
188,0,request,1128366.0,The Alfred,0
189,1,release,1131055.8495726655,The Alfred,0
190,0,request,1142931.0,The Alfred,0
191,1,release,1146002.4284269393,The Alfred,0
192,0,request,1162587.0,The Alfred,0
193,1,release,1165202.8923232541,The Alfred,0
194,0,request,1168567.0,The Alfred,0
195,1,release,1171295.130662694,The Alfred,0
196,0,request,1181844.0,The Alfred,0
197,1,request,1183225.0,The Alfred,0
198,2,release,1184787.088111058,The Alfred,0
199,1,release,1185680.807873261,The Alfred,0
200,0,request,1200452.0,The Alfred,0
201,1,release,1203003.2418078484,The Alfred,0
202,0,request,1217410.0,The Alfred,0
203,1,request,1218929.0,The Alfred,0
204,2,release,1220258.7914766644,The Alfred,0
205,1,release,1221910.139246234,The Alfred,0
206,0,request,1240919.0,The Alfred,0
207,1,request,1240933.0,The Alfred,0
208,2,request,1242035.0,The Alfred,0
209,3,release,1244489.0997755448,The Alfred,0
210,2,release,1244618.586807546,The Alfred,0
211,1,release,1245340.342895677,The Alfred,0
212,0,request,1246660.0,The Alfred,0
213,1,release,1249596.5267460162,The Alfred,0
214,0,request,1267917.0,The Alfred,0
215,1,release,1270790.4786645127,The Alfred,0
216,0,request,1299632.0,The Alfred,0
