,capacity_at_event_time,event,event_time,name,queue_at_event_time
0,0,request,2679.0,The Alfred,0
1,1,request,2941.0,The Alfred,0
2,2,request,4319.0,The Alfred,0
3,3,request,4834.0,The Alfred,0
4,4,request,5329.0,The Alfred,0
5,5,release,5620.639087688924,The Alfred,0
6,4,release,6278.671381162936,The Alfred,0
7,3,release,7393.165995733827,The Alfred,0
8,2,release,7694.732608512528,The Alfred,0
9,1,release,8741.79578769465,The Alfred,0
10,0,request,12528.0,The Alfred,0
11,1,request,13839.0,The Alfred,0
12,2,request,15631.0,The Alfred,0
13,3,release,15810.237748062144,The Alfred,0
14,2,release,17587.62992062193,The Alfred,0
15,1,release,18569.56910124618,The Alfred,0
16,0,request,18708.0,The Alfred,0
17,1,request,19937.0,The Alfred,0
18,2,release,22208.886005293094,The Alfred,0
19,1,release,22874.834871802686,The Alfred,0
20,0,request,23044.0,The Alfred,0
21,1,request,23445.0,The Alfred,0
22,2,release,25522.42414201433,The Alfred,0
23,1,request,25961.0,The Alfred,0
24,2,release,26070.450216332283,The Alfred,0
25,1,request,26904.0,The Alfred,0
26,2,request,28795.0,The Alfred,0
27,3,request,29155.0,The Alfred,0
28,4,release,29393.369468671903,The Alfred,0
29,3,request,29567.0,The Alfred,0
30,4,release,29944.79585406738,The Alfred,0
31,3,release,31489.718191445332,The Alfred,0
32,2,request,31537.0,The Alfred,0
33,3,release,32481.26217884732,The Alfred,0
34,2,request,33139.0,The Alfred,0
35,3,release,33217.27242588765,The Alfred,0
36,2,release,34490.44318819444,The Alfred,0
37,1,release,35728.13801586115,The Alfred,0
38,0,request,36989.0,The Alfred,0
39,1,request,39532.0,The Alfred,0
40,2,release,39790.79618703224,The Alfred,0
41,1,request,40906.0,The Alfred,0
42,2,request,41194.0,The Alfred,0
43,3,request,41449.0,The Alfred,0
44,4,release,42916.756804143064,The Alfred,0
45,3,release,43439.739934986595,The Alfred,0
46,2,release,44349.35234264015,The Alfred,0
47,1,release,44445.58310694746,The Alfred,0
