,capacity_at_event_time,event,event_time,name,queue_at_event_time
0,0,request,282.0,Austin Health,0
1,1,request,1864.0,Austin Health,0
2,2,release,3169.0390249909174,Austin Health,0
3,1,release,4339.411723428568,Austin Health,0
4,0,request,4888.0,Austin Health,0
5,1,request,7075.0,Austin Health,0
6,2,release,7498.317476743272,Austin Health,0
7,1,request,8959.0,Austin Health,0
8,2,request,8983.0,Austin Health,0
9,3,request,9076.0,Austin Health,0
10,4,release,9814.748469587159,Austin Health,0
11,3,request,11457.0,Austin Health,0
12,4,release,11565.799738653643,Austin Health,0
13,3,release,11636.334084553124,Austin Health,0
14,2,release,11725.44154198444,Austin Health,0
15,1,request,12226.0,Austin Health,0
16,2,request,13410.0,Austin Health,0
17,3,request,13636.0,Austin Health,0
18,4,request,14051.0,Austin Health,0
19,5,release,14361.731417825402,Austin Health,0
20,4,request,14448.0,Austin Health,0
21,5,release,15367.461771479248,Austin Health,0
22,4,request,15661.0,Austin Health,0
23,5,release,16280.313776537932,Austin Health,0
24,4,request,16282.0,Austin Health,0
25,5,release,16380.521318777826,Austin Health,0
26,4,request,16512.0,Austin Health,0
27,5,release,16545.831288004596,Austin Health,0
28,4,request,16796.0,Austin Health,0
29,5,request,16886.0,Austin Health,0
30,5,request,17064.0,Austin Health,1
31,5,release,17376.009671306834,Austin Health,2
32,5,release,17376.009671306834,Austin Health,1
33,5,request,17868.0,Austin Health,0
34,5,release,18667.13449360922,Austin Health,1
35,5,release,18667.13449360922,Austin Health,0
36,4,request,18783.0,Austin Health,0
37,5,release,19388.251646802484,Austin Health,0
38,4,release,19453.133795024616,Austin Health,0
39,3,release,19779.729423629145,Austin Health,0
40,2,release,20630.174971189717,Austin Health,0
41,1,request,20742.0,Austin Health,0
42,2,release,21778.253286339957,Austin Health,0
43,1,request,22138.0,Austin Health,0
44,2,request,22222.0,Austin Health,0
45,3,request,22564.0,Austin Health,0
46,4,request,23162.0,Austin Health,0
47,5,request,23194.0,Austin Health,0
48,5,release,24004.748159000617,Austin Health,1
49,5,release,24004.748159000617,Austin Health,0
50,4,request,24005.0,Austin Health,0
51,5,request,24301.0,Austin Health,0
52,5,release,24693.414405567604,Austin Health,1
53,5,release,24693.414405567604,Austin Health,0
54,4,release,24933.815113410918,Austin Health,0
55,3,release,25237.54558589148,Austin Health,0
56,2,release,25312.563521762724,Austin Health,0
57,1,release,26098.28938119267,Austin Health,0
58,0,request,26601.0,Austin Health,0
59,1,request,26907.0,Austin Health,0
60,2,request,27349.0,Austin Health,0
61,3,request,27505.0,Austin Health,0
62,4,request,27849.0,Austin Health,0
63,5,request,27900.0,Austin Health,0
64,5,request,28261.0,Austin Health,1
65,5,request,29024.0,Austin Health,2
66,5,release,29495.056577379346,Austin Health,3
67,5,release,29495.056577379346,Austin Health,2
68,5,release,29495.056577379346,Austin Health,1
69,5,release,29495.056577379346,Austin Health,0
70,4,release,29716.38000495977,Austin Health,0
71,3,request,30510.0,Austin Health,0
72,4,request,30687.0,Austin Health,0
73,5,release,30804.593716497213,Austin Health,0
74,4,release,30891.94321128106,Austin Health,0
75,3,release,30971.915732872298,Austin Health,0
76,2,request,31048.0,Austin Health,0
77,3,request,31423.0,Austin Health,0
78,4,request,31463.0,Austin Health,0
