         20846309 function calls (20599850 primitive calls) in 34.277 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1634    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:103(release)
      980    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      980    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:147(__enter__)
      980    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1634    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      976    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(cb)
      654    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   997/29    0.001    0.000    1.178    0.041 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6745    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      574    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
      574    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      574    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2294    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      487    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      764    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     1056    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:403(cached)
    16089    0.025    0.000    0.036    0.000 <frozen importlib._bootstrap>:416(parent)
      574    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      574    0.005    0.000    0.021    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  574/556    0.002    0.000    0.219    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      976    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:622(_load_backward_compatible)
   575/13    0.005    0.000    1.177    0.091 <frozen importlib._bootstrap>:651(_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:674(_load)
      761    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:753(is_package)
     1634    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:78(acquire)
      756    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(find_spec)
     2455    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:843(__enter__)
     2455    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:847(__exit__)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
      761    0.009    0.000    0.122    0.000 <frozen importlib._bootstrap>:870(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:917(_sanity_check)
   979/32    0.005    0.000    1.188    0.037 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
   979/32    0.009    0.000    1.190    0.037 <frozen importlib._bootstrap>:966(_find_and_load)
        1    0.000    0.000    0.038    0.038 <frozen importlib._bootstrap>:982(_gcd_import)
132949/131783    0.077    0.000    0.726    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
       63    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
     1340    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      756    0.006    0.000    0.105    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      756    0.001    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       64    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
      569    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
     1225    0.019    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       64    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
       64    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1310(<setcomp>)
       64    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1359(_get_supported_file_loaders)
      974    0.006    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      569    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
     1225    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
